"name","tokenId","expiryDate","registrationDate","owner","currentPrice","currentPriceSymbol","lastSale","lastSaleDate","lastSaleSymbol"
"therockyhorrorpictureshow","56394412680084459189776670501444745036472676953937613406835461120093078930703",1695263147,1663727147,"0x2a8e7f7d489d1678eb4e45971439059656137636",93000000000000000,"ETH",,,
"desi999","60842748042640420460223154665795073396733419657247259194957863380071550962055",1694999207,1663463207,"0x2a8e7f7d489d1678eb4e45971439059656137636",260000000000000000,"ETH",,,
"⛓⛓🛡⛓⛓","108670853325759786331386740002813166332765920225024416736255824508620842012895",1694362190,1662826190,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"💯nft💯","20906889476013880171073878641710655201371170406045716382610240547713418443053",1694821127,1663285127,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"⛓daddy🛡dom⛓","29514916013744264694474825404391804800328267484509312030812179093876555520114",1694469978,1662933978,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"⛓⛓🔴⛓⛓","38093248618649199258924109856299689453869533456000181075138346057556471629009",1693784120,1662227168,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"☁☁🔮☁☁","46052322805537778292774580610227440245400365590326927445783424562256964885821",1693785203,1662228251,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"☁☁🔥☁☁","51522180914219007097023565569026503237408836085053698857703913192362226675808",1693374204,1661838204,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"☁🔥🔮🎱🧊","59429097191520333489345096420427853967068595878301454121932726453141587017868",1693376528,1661840528,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"☁☁🧊☁☁","59662421679665538242042498331861312253971305047306036038564860908187659810305",1694275812,1662739812,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"⛓⛓🐽⛓⛓","94890585858816670024131302241053349113644704338132506276810949431397356757428",1693790783,1662233831,"0x2a8e7f7d489d1678eb4e45971439059656137636",500000000000000000,"ETH",,,
"040684","60313133911794547389569402062495570261500643784786855564434439498117568345043",1694821391,1663285391,"0x2a8e7f7d489d1678eb4e45971439059656137636",550000000000000000,"ETH",,,
"amateurslutsonm","21008080422722131368872974196954999137080012032247698842946176861024152045108",1724566184,1661452280,"0x2a8e7f7d489d1678eb4e45971439059656137636",800000000000000000,"ETH",,,
"dirtysexonm","95443967114770535849333608326159404048213626033536008143054920498649394643941",1692940718,1661383766,"0x2a8e7f7d489d1678eb4e45971439059656137636",910000000000000000,"ETH",,,
"hrnyonm","14218555497855922226488573931692352227034919378966380695936902333868253314720",1693070221,1661534221,"0x2a8e7f7d489d1678eb4e45971439059656137636",1061000000000000000,"ETH",,,
"spunonm","69023918364755740211157965272291360581883314339523759618615876479257147152795",1692584867,1661048867,"0x2a8e7f7d489d1678eb4e45971439059656137636",1066200000000000000,"ETH",,,
"publicdisgrace","45636420312635396390838692067691009418468153341325133747864970561761406331723",1693608488,1662051536,"0x2a8e7f7d489d1678eb4e45971439059656137636",2831000000000000000,"ETH",,,
"thejackattack","62679526055541092114045990211958589760084718041331957052926779193531862309136",1692135704,1660599704,"0x2a8e7f7d489d1678eb4e45971439059656137636",,,,,